1	20
2	40
3	60
4	80
5	160
6	240
7	200
8	400
9	600
10	800
11	1000
12	1200
13	1400
14	1600
15	1800
16	2000
17	2200
18	2400
19	2600
20	2800
21	3000
22	3200
23	3400
24	3600
25	3800
26	4000
27	4200
28	4400
29	4600
30	4800
31	5000
32	5200
33	5400
34	5600
35	5800
36	6000
37	6200
38	6400
39	6600
40	6800
41	7000
42	7200
43	7400
44	7600
45	7800
46	8000
47	8200
48	8400
49	8600
50	8800
51	9000
52	9200
53	9400
54	9600
55	9800
56	10000
57	10200
58	10400
59	10600
60	10800
61	11000
62	11200
63	11400
64	11600
65	11800
66	12000
67	12200
68	12400
69	12600
70	12800
71	13000
72	13200
73	13400
74	13600
75	13800
76	14000
77	14200
78	14400
79	14600
80	14800
81	15000
82	15200
83	15400
84	15600
85	15800
86	16000
87	16200
88	16400
89	16600
90	16800
91	17000
92	17200
93	17400
94	17600
95	17800
96	18000
97	18200
98	18400
99	18600
100	18800
